,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
851,CN2321,国证红利R,50,9621.4166,-0.0008,8.1089,58504.10557,666.298175402,162829.4733141417,52895.8324264497
852,CN2322,国证治理R,50,11680.9086,-0.0009,10.3709,40806.9494,730.8174962534,119812.2879567399,48906.4349601293
853,CN2324,深证红利R,40,14351.2524,-0.0026,13.6584,42030.66665,477.726401225,43297.664567526,21633.1683530445
854,CN2326,成长40R,40,4356.7988,-0.0188,12.9493,10091.68297,240.41303404029998,16238.1641970697,9065.9079514931
855,CN2328,深证治理R,40,14197.4888,-0.0003,17.1799,19814.21158,391.46658255709997,42011.7901743229,22062.4363333134
856,CN2335,深证央企R,50,4667.6504,-0.014,21.9564,22406.04536,299.1258039717,24601.832631694702,9461.8318234072
857,CN2337,深证民营R,100,4746.4837,-0.0072,19.7816,36091.41895,751.4869031778,69812.6531956836,38644.8733301907
858,CN2339,深证科技R,100,6912.7541,-0.0072,22.7047,35763.49515,798.6252835105,67009.0210863977,36223.8472783229
859,CN2341,深证责任R,100,1914.8146,-0.0036,15.3695,40904.64221,661.5230294227,64720.7954474526,33042.5478468811
860,CN2346,深证成长R,100,3577.1721,-0.0128,17.603,27681.68772,646.4372887997,56937.991993585594,31969.8647291665
861,CN2348,深证价值R,100,8524.1816,-0.0041,13.2716,65603.39254,734.1060248303,60145.6967612266,29593.1682375737
862,CN2350,皖江30R,30,2718.9655,-0.0032,17.9306,9351.62068,120.6596640286,9958.8398776047,4564.4062745333
863,CN2351,创新示范R,100,9191.6047,-0.0098,12.8303,46921.16564,644.2787040537,58157.8199006643,25760.8480926057
864,CN2353,国证物流R,40,2423.1368,0.002,12.5002,21683.46894,176.2107087412,22953.135997657202,8093.0786490315
865,CN2354,分析师指R,100,8731.0776,-0.0051,13.4899,84363.4112,1508.4801380693,229029.7470920505,9552.0699111176
866,CN2355,长三角R,40,3410.5205,-0.0066,11.5168,17862.89348,316.8800480771,45853.8994748745,21301.4392842634
867,CN2356,珠三角R,40,10262.4591,-0.0069,12.4657,34347.26412,551.4962942593,62800.389088207405,31948.2066907904
868,CN2357,环渤海R,40,3753.7535,0.0009,9.1468,51307.2209,451.99965072,134617.8532205921,30798.4270166712
869,CN2358,国证环保R,40,4646.3452,-0.0113,15.1829,23299.67643,388.5579581751,45908.130542497005,21537.7357902237
870,CN2360,新硬件R,100,4569.6256,-0.0113,25.3467,34436.67237,567.1662114258,34319.935777201405,1725.2408540960998
871,CN2361,在线消费R,50,3081.284,-0.0036,25.9139,21627.62233,224.5586477432,9728.9045234221,6010.638342968399
872,CN2362,民企100R,100,6334.6879,-0.0072,19.835,33202.02946,909.4761738844,98140.7239952369,49221.324979049
873,CN2363,国证算力R,50,4046.5183,-0.0027,35.6626,14608.82366,493.7986411826,27694.443337368597,8386.1161823634
874,CN2365,国证粮食R,50,13983.7733,-0.0029,16.386,9131.72952,107.0563201095,10313.159069482099,2474.7740041995003
875,CN2366,能源金属R,50,1712.493,-0.017,14.0389,17758.91623,197.04981040090001,10834.987192489301,6409.257117639399
876,CN2367,1000地产R,0,3163.7412,-0.0209,9.4769,20454.87464,130.3858521851,6185.346851525501,2366.1398275578
877,CN2368,国证军工R,50,6404.8367,-0.0144,41.3736,12810.84655,235.2504398228,16455.1451512435,7752.5108280915
878,CN2369,国证责任R,100,1869.0525,0.0016,12.3114,44855.88317,712.1059600660001,71182.37560627589,34995.9734110582
879,CN2370,国证成长R,332,4305.2333,-0.0107,16.7578,90819.59824,1777.2950482366,169756.6396731197,79218.25494044469
880,CN2371,国证价值R,332,8456.935,-0.0003,8.6238,194134.26822,1726.6981608203,250369.6592674139,88982.4531248552
881,CN2372,大盘成长R,66,4623.431,-0.0123,16.3905,38887.30064,857.9901071536,107561.7682987944,47472.1814855448
882,CN2373,大盘价值R,66,10498.6794,-0.0009,7.6223,79628.45187,823.6098906894,172937.6615602807,54018.7506988078
883,CN2374,中盘成长R,100,3986.4894,-0.0054,16.6507,17095.73961,432.2732411843,34984.9864575982,17236.8023607968
884,CN2375,中盘价值R,100,6637.0575,0.0013,11.7661,57336.11728,479.86226912629996,43918.3479852896,19566.5257718896
885,CN2376,小盘成长R,166,4798.5902,-0.012,18.6337,34836.55799,487.0316998987,27209.8849167271,14509.2710941031
886,CN2377,小盘价值R,166,8026.1356,0.0,13.4392,57169.69907,423.2260010046,33513.6497218436,15397.1766541578
887,CN2378,ESG 300R,300,2849.2572,-0.0037,11.9821,146230.17934,2273.6863996192,331243.0658727213,132242.3220499219
888,CN2381,1000能源R,0,5615.3788,0.0088,11.2445,15811.62058,152.4861294837,42031.7551278784,7912.3279327316
889,CN2382,1000材料R,0,3439.0284,-0.01,17.8705,56982.36325,591.0456128988,52324.538053493896,26282.0879143309
890,CN2383,1000工业R,0,2918.0111,-0.0116,13.7289,96227.21904,1111.8268713573,99361.0993480733,45954.59245484941
891,CN2384,1000可选R,0,4932.6864,0.0004,18.3041,42364.55305,641.5883915467,43639.8511944135,21010.7925809818
892,CN2385,1000消费R,0,14510.6153,0.0001,25.8707,11966.43269,320.6600004149,58502.7347151625,19124.5660131869
893,CN2386,1000医药R,0,6998.5675,0.0007,25.0102,15664.59659,374.076635965,37696.205642692,18884.8591464943
894,CN2387,1000金融R,0,6705.4798,-0.006,7.1132,81150.53022,647.004858453,122723.7987093114,43272.3123825116
895,CN2388,1000信息R,0,4110.6823,-0.0087,33.8571,51928.0194,989.3980409948,61754.549835989004,32896.637125031404
896,CN2389,国证通信R,70,4379.9618,-0.0092,25.7385,17343.70183,332.0951746664,19959.591885006397,9610.742356353101
897,CN2390,1000公用R,0,4118.6911,0.0087,20.3455,21521.83678,153.0984042406,26777.2727206169,7164.068483213299
898,CN2391,投资时钟R,100,4581.0963,-0.0021,14.3217,55337.20052,841.8608792563,112500.0187559077,36555.453430498
899,CN2392,国证新兴R,100,2449.2738,-0.0105,19.6868,67108.91958,1269.7953048474,130002.4379022932,2481.6817278795
