,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
676,483013,深港通能源R,0,10272.6621,0.0099,,13165.3792,77.4839017956,15355.6977497933,3940.5520049410998
677,483014,深港通能源R（港币）,0,9889.813,0.01,,13165.3792,83.8309816132,16613.5243626027,4263.3363410615
678,483015,深港通材料R,0,5194.9941,0.0161,,80786.14241,783.2539663959,38002.3328884094,19499.586372821203
679,483016,深港通材料R（港币）,0,4998.4643,0.0162,,80786.14241,847.4177253969,41115.4381143054,21096.968662609
680,483017,深港通工业R,0,4070.3766,-0.0097,,81913.7054,1015.1220567603999,73163.0291357293,36953.8247688083
681,483018,深港通工业R（港币）,0,3916.8525,-0.0096,,81913.7054,1098.2805081934,79156.4081436368,39981.0230392084
682,483019,深港通可选消费R,0,5085.9662,-0.0149,,55457.04063,573.4120702693,65881.4299197519,36604.7069005583
683,483020,深港通可选消费R（港币）,0,4894.6213,-0.0147,,55457.04063,620.3848170915,71278.1459199242,39603.1933972404
684,483021,深港通主要消费R,0,7114.631,0.0034,,15986.93918,182.78091617310002,38247.4816987313,15416.873041468501
685,483022,深港通主要消费R（港币）,0,6846.408,0.0035,,15986.93918,197.7541499786,41380.618561437404,16679.7886432514
686,483023,深港通医药卫生R,0,4458.9862,-0.0067,,18711.65837,285.96390985759996,39807.4553574061,19666.4503224301
687,483024,深港通医药卫生R（港币）,0,4290.9381,-0.0066,,18711.65837,309.38969011259996,43068.376581148,21277.475380403997
688,483025,深港通金融R,0,5855.3798,-0.0101,,32184.81,187.6603553142,70637.5473404288,42216.9991516369
689,483026,深港通金融R（港币）,0,5636.8914,-0.01,,32184.81,203.03257001970002,76423.695329633,45675.11533683
690,483027,深港通信息技术R,0,6015.8081,-0.0143,,81469.76419,1110.1692096337,83465.6574562121,39351.1086159946
691,483028,深港通信息技术R（港币）,0,5790.0129,-0.0142,,81469.76419,1201.1135072267,90302.8807776397,42574.6660046088
692,483029,深港通电信业务R,0,5502.7055,-0.0235,,17160.74839,278.5755315709,27351.1601827156,9751.6900340987
693,483030,深港通电信业务R（港币）,0,5296.1317,-0.0234,,17160.74839,301.39602516,29591.6048212448,10550.508118133399
694,483031,深港通公用事业R,0,5040.4664,0.0003,,11118.60134,67.5950634597,17037.9093117037,6829.8392331699
695,483032,深港通公用事业R（港币）,0,4852.5563,0.0004,,11118.60134,73.13226244970001,18433.5718269735,7389.2987011185
696,483033,深港通通信服务R,0,4881.222,-0.0296,,14745.08246,258.9663451321,11734.0005482508,6443.9391226977
697,483034,深港通通信服务R（港币）,0,4696.1793,-0.0295,,14745.08246,280.1805525616,12695.2175559108,6971.8119629257
698,483035,深港通医疗R,0,5153.9867,-0.0086,,3927.33726,66.8676009888,11157.8696662066,4191.2930249639
699,483036,深港通医疗R（港币）,0,4959.738,-0.0085,,3927.33726,72.3453329279,12071.9020967571,4534.6352930862
700,483037,深港通食品零售R,0,1894.0312,0.0009,,532.25137,3.2258767649,437.2142142564,71.0226160267
701,483038,深港通食品零售R（港币）,0,1822.6635,0.001,,532.25137,3.4901393671,473.0292940017,76.8405661912
702,483039,深港通汽车R,0,6552.8412,-0.0221,,17711.12993,217.8997941986,18118.986727596202,7110.9259744223
