,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
473,券商ETF基金,515010,1.271,10000,10001,行业，金融，证券,0.20%,华夏基金,2019-11-07,证券公司指数,5102.26,10291,9542,12424,11033,11471,11.98
474,科创创业指数ETF,588400,0.608,9967,9983,宽基，中小盘,0.60%,嘉实基金,2021-07-05,科创创业50指数,5071.68,10975,10611,13075,8216,10000,19.71
475,大数据ETF,159739,1.334,10053,10021,主题，TMT，互联网,0.60%,鹏华基金,2021-11-17,云计算指数,4973.73,12753,12621,16429,14516,10000,1.97
476,央企科技ETF,560170,0.888,9978,9997,主题，央企，新兴产业,0.60%,南方基金,2023-07-06,央企科技引领指数,5033.43,10777,10195,11715,10000,10000,14.73
477,科创人工智能ETF,588730,1.23,10107,10032,主题，新兴产业，人工智能,0.60%,易方达基金,2025-01-24,科创AI指数,4989.05,12227,10000,10000,10000,10000,2.06
478,创业板ETF天弘,159977,2.31,10026,9995,宽基，中小盘,0.60%,天弘基金,2019-09-27,创业板R指数,4924.59,10845,10452,12956,8024,10154,106.91
479,科创板新能源ETF,588960,1.03,10000,9955,行业，新能源，科创板,0.60%,富国基金,2025-02-19,科创新能指数,4753.35,10000,10000,10000,10000,10000,2.09
480,A500ETF申万菱信,560750,1.042,10000,10002,宽基，中小盘,0.20%,申万菱信基金,2025-02-07,中证A500指数,4690.07,10000,10000,10000,10000,10000,4.75
481,新能源ETF,159875,0.465,10000,9982,主题，新兴产业，新能源,0.60%,嘉实基金,2021-08-17,中证新能指数,4450.27,10473,9936,10242,4915,10000,9.77
482,央企科创ETF,159335,1.222,10000,10017,主题，央企，科技,0.35%,融通基金,2024-09-05,央企科技创新指数,4275.75,10729,10252,10000,10000,10000,4.55
483,500ETF增强,159610,0.867,10000,9980,宽基，中小盘,0.60%,景顺长城基金,2022-01-10,中证500指数,4133.29,10321,10260,11764,9323,10000,6.9
484,半导体设备ETF易方达,159558,1.305,10000,9993,行业，半导体，芯片,0.60%,易方达基金,2024-06-18,半导体材料设备指数,4036.55,11508,11173,10000,10000,10000,6.24
485,信创50ETF,560850,1.565,10116,9983,行业，信息技术,0.60%,汇添富基金,2024-04-15,中证信创指数,4005.16,13129,12713,10000,10000,10000,1.67
486,180ETF基金,530580,0.984,10000,10003,宽基，大盘股,0.20%,南方基金,2025-01-08,上证180指数,3930.13,10271,10000,10000,10000,10000,12.5
487,创业板ETF富国,159971,1.544,10006,10002,宽基，中小盘,0.20%,富国基金,2019-07-02,创业板R指数,3937.58,10843,10454,12975,8008,9885,25.79
488,科创芯片ETF博时,588990,1.755,10000,10011,行业，半导体，芯片，科创板,0.60%,博时基金,2024-08-16,科创芯片指数,3939.89,11755,11441,10000,10000,10000,2.35
489,中证500ETF华泰柏瑞,512510,1.691,10000,9999,宽基，中小盘,0.20%,华泰柏瑞基金,2015-06-12,中证500指数,3795.12,10703,10445,11892,9707,12948,12.46
490,科创100ETF南方,588900,1.044,10000,10003,宽基，中小盘，科创板,0.20%,南方基金,2023-12-18,科创100指数,3506.15,11510,11613,12826,10000,10000,3.59
491,上证180ETF指数,510040,0.992,10000,9974,宽基，大盘股,0.20%,鹏华基金,2025-01-06,上证180指数,3351.13,10259,10000,10000,10000,10000,7.49
